# 圆锥曲线问题推理过程数据集
# 共 5357 个有效样本 （这里提供了一部分样本[2521]~[5006]）
# 格式：[样本ID] 推理过程


[3002] 由双曲线\frac{x^{2}}{a^{2}}-\frac{y^{2}}{b^{2}}=1(a>0,b>0)得到:右焦点F(c,0),右顶点为A(a,0),虚轴的上端点B(0,b),且a^{2}=b^{2}+c^{2}则直线AB:\frac{x}{a}+\frac{y}{b}=1.由点F到直线AB的距离为\frac{b}{3}得:\frac{|\frac{c}{a}-1|}{\sqrt{(\frac{1}{a})^{2}+(\frac{1}{b})^{2}}}=\frac{b}{3},整理化简得:3a=2c.所以离心率e=\frac{c}{a}=\frac{3}{2}

[3003] 易知直线AB的斜率存在,设为y=kx+2,由\begin{cases}x^{2}=8y,\\y=kx+2\end{cases}得x^{2}-8kx-16=0\thereforex_{A}x_{B}=-16,又\because\frac{|AF|}{|BF|}=\frac{1}{2},\thereforex_{B}=-2x_{A},\therefore\begin{cases}x_{A}=-2\sqrt{2},\\x_{B}=4\sqrt{2}\end{cases}.或x_{B}=-4\sqrt{2},则S_{AOAB}=\frac{1}{2}|OF||x_{B}-x_{A}|=6\sqrt{2}.

[3004] \because直线y=kx-2与抛物线y^{2}=8x相交于不同的两点A、B,\thereforek\neq0由\begin{cases}y=kx-2\\y2=8x\end{cases},可得k^{2}x^{2}-4kx-8x+4=0,\thereforex_{1}+x_{2}=\frac{4k+8}{k^{2}},由AB中点横坐标为2,\thereforex_{1}+x_{2}=\frac{4k+8}{k^{2}}=4,解得:k=-1或者k=2,检验,当k=-1时,方程k^{2}x^{2}-4kx-8x+4=0只有一个解,即A、B两点重合,\thereforek\neq1,\thereforek=2.故答案:2

[3005] 双曲线的左焦点F(-5,0),设右焦点为F'(5,0),由题意可得,AAPF的周长=|AF|+|PF|+|AP|=|AF|+8+|PF'|+|AP|\geqslant|AF|+8+|PF'|,当点A,P,F'共线时,等号成立,即此时AAPF的周长最小,此时直线AP的方程为4x+3y-20=0\therefore点F到直线AP的距离为\underline{|4\times(-5)+0-20|}=8

[3006] 由已知得双曲线的焦点在x轴上,故其渐近线方程为y=\pm\frac{b}{a}x,离心率e=\frac{c}{a}=\sqrt{1+\frac{b^{2}}{a^{2}}}由已知得双曲线的焦点在x轴上,a=1,b=2,c=\sqrt{5}故其渐近线方程为y=\pm\frac{b}{a}x=\pm2x^{,}即2x\pmy=0,离心率e=\frac{c}{a}=\sqrt{1+\frac{b^{2}}{a^{2}}}=\sqrt{5}

[3007] 由双曲线定义知|AF_{2}|-|AF|=2a,又|AF_{2}|+|AF_{1}|=9a-2c解得|AF_{2}|=\frac{11a-2c}{2},|AF_{1}|=\frac{7a-2c}{2}.因为直线AF_{1}与直线y=\frac{b}{a}x平行,所以\tan\angleAF_{1}F_{2}=\frac{b}{a},故\cos\angleAF_{1}F_{2}=\frac{a}{c}由余弦定理得:\cos\angleAF_{1}F_{2}=\frac{a}{c}=\frac{|AF_{1}^{2}+4c^{2}-|AF_{2}^{2}}{2|AF|\cdot2c}即\frac{1}{e}=\frac{-18+4e+4e^{2}}{14e-4e^{2}},化简得e^{2}+2e-8=0解得e=2或e=-4(舍去)睛)本题主要考查了双曲线的定义,余弦定理,双曲线的离心率,属于难题

[3008] 设椭圆方程为\frac{y^{2}}{a^{2}}+\frac{x^{2}}{b^{2}}=1(a>b>0),则a^{2}=b^{2}+c^{2}=b^{2}+50\textcircled{1}设直线3x-y-2=0与椭圆相交的弦的端点为A(x_{1},y_{1}),B(x_{2},y_{2})则\begin{cases}b^{2}y_{1}^{2}+a^{2}x_{1}^{2}=a^{2}b^{2}\\b^{2}y_{2}+a^{2}x_{2}^{2}=a^{2}b^{2}\end{cases}\thereforeb^{2}(y_{1}-y_{2})(y_{1}+y_{2})+a(x_{1}-x_{2})(x_{1}+x_{2})=0而弦的中点的横坐标为\frac{1}{2},则纵坐标为-\frac{1}{2},即x_{1}+x_{2}=2\times\frac{1}{2}=1,y_{1}+y_{2}=2\times(-\frac{1}{2})=-11,\frac{y_{1}-y_{2}}{x_{1}-x_{2}}=3\thereforeb^{2}\times3\times(-1)+a^{2}\times1=0,即a^{2}=3b^{2}\textcircled{2}联立\textcircled{1}\textcircled{2}得:a^{2}=75,b^{2}=25故该椭圆的方程为\frac{y^{2}}{75}+\frac{x^{2}}{25}=

[3009] 设两直线的交点为M,F_{1}(-c,0),F_{2}(c,0),坐标原点为O,由椭圆的定义,可得|MF_{1}|+|MF_{2}|=2a,\becauseMF_{1}\botMF_{2}\therefore|MF_{1}|^{2}+|MF_{2}|^{2}=|F_{1}F_{2}|^{2}=4c^{2},由均值不等式可得,\frac{|MF_{1}|+|MF_{2}|}{2}\leqslant\sqrt{|MF^{2}+|M}即a\leqslant\sqrt{2}c,当且仅当|MF_{1}|=|MF_{2}|=a时,等号成立.从而e=\frac{c}{a}\geqslant\frac{\sqrt{2}}{2},又e<1,\therefore\frac{\sqrt{2}}{2}\leqslante<1

[3012] 根据题意,方程为\frac{x^{2}}{2}+y^{2=1}的椭圆中,其中a=\sqrt{2},则其长轴长2a=2\sqrt{2}

[3014] 与y轴交点为(01),设直线为x+2y+c=0,将(01)代入c=-2,则直线方程为x+2y-2=0

[3015] 由题意\sqrt{m-n}<\sqrt{n},即m<2n,所以n<m<2n,\frac{1}{2}<\frac{n}{m}<1,所以e=\frac{c}{a}=\frac{\sqrt{m-n}}{\sqrt{m}}=\sqrt{\frac{m-n}{m}}=\sqrt{1-\frac{n}{m}}\in(0,\frac{\sqrt{2}}{2})

[3016] 设直线被椭圆所截弦的端点为A(x_{1},y_{1}),B(x_{2},y_{2}).用“点差法”建立弦中点坐标,弦所在线斜率与椭圆方程中a,b的关系,结合c=5\sqrt{2}可求得结论设所求的椭圆方程为\frac{y^{2}}{a^{2}}+\frac{y^{2}}{b^{2}}=1(a>b>0),直线被椭圆所截弦的端点为A(x_{1},y_{1}),(x_{2}y_{2})y_{2}).将A,B两点坐标代入椭圆方程中得\begin{cases}x+x_{2},y_{1}+y_{2})\\\frac{y}{a}+\frac{x^{2}}{b^{2}}=1\\\frac{y^{2}}{2+\frac{x^{2}}{2}}=1\end{cases}两式相减并化简得\frac{a^{2}}{b^{2}}=-\frac{y_{1}}{x_{1}-x_{2}}\frac{y_{1}+y_{2}}{1+x_{2}}=-2\frac{-\frac{6}{7}}{4}=3,所以a^{2}=3b^{2}.又c^{2}=a^{2}-b^{2}=50,所以a^{2}=75,b^{2}=25.故所求椭圆的标准方程为\frac{y^{2}}{75}+\frac{x^{2}}{25}=1

[3017] 设直线AP的倾斜角为\theta,在Rt\trianglePAF中,由题意可得\tan\theta=\frac{b^{2}}{a+c}=\frac{\sqrt{3}}{3},整理可得3b^{2}=\sqrt{3}(a^{2}+ac)即3(a^{2}-c^{2})=\sqrt{3}(a^{2}+ac)可得3e^{2}+\sqrt{3}e-3+\sqrt{3}=0,解得e=-1(舍去),e=\frac{3-\sqrt{3}}{3}.

[3018] 设A(x_{1},y_{1}),B(x_{2},y_{2}),\therefore|AB|=x_{1}+1+x_{2}+1=6\Rightarrowx_{1}+x_{2}=4,\therefore以AB为直径的圆的圆心到与y轴相交所得弦的弦心距为2,\therefore所求弦长为2\sqrt{3^{2}-2^{2}}=2\sqrt{5}

[3019] 设A(x_{1},y_{1}),B(x_{2},y_{2}),直线方程为y=k(x-\frac{p}{2}),由条件知k存在联立\begin{cases}y=k(x-\frac{p}{2})\\,2-2ny\end{cases},化简得k^{2}x^{2}-(pk^{2}+2p)x+\frac{1}{4}k^{2}p^{2}=0,则x_{1}+x_{2}=\frac{px}{k^{2}+2p},x_{1}x_{2}=\frac{1}{4}p^{2},由抛物线定义知,AF=x_{1}+\frac{p}{2},BF=x_{2}+\frac{p}{2}代入韦达员已理知,\frac{n^{2}}{4}+\frac{p}{2}(6-p)+\frac{p^{2}}{4}=6,解得p=2

[3022] 设A(x_{1},y_{1}),B(x_{2},y_{2}),则\frac{x_{1}^{2}}{a^{2}}+\frac{y_{1}^{2}}{b^{2}}=1\textcircled{1},\frac{x_{2}^{2}}{a^{2}}+\frac{y_{2}^{2}}{b^{2}}=1\textcircled{2}\because(1,1)是线段AB的中点,\frac{1}{2}(x_{1}+x_{2})=1,\frac{1}{2}(y_{1}+y_{2})=1,\because直线AB的方程是y=-\frac{1}{3}(x-1)+1,\thereforey_{1}-y_{2}=-\frac{1}{3}(x_{1}-x_{2}),\textcircled{1}\textcircled{2}两式相减可得:\frac{1}{a^{2}}(x_{1}^{2}-x_{2}^{2})+\frac{1}{b^{2}}(y_{1}^{2}-y_{2}^{2})=0,\therefore\frac{1}{a^{2}}(x_{1}-x_{2})(x_{1}+x_{2})+\frac{1}{b^{2}}(y_{1}-y_{2})(y_{1}+y_{2})=0,\therefore2\times\frac{1}{a^{2}}(x_{1}-x_{2})+2\times\frac{1}{b^{2}}(y_{1}-y_{2})=0,\therefore\frac{b^{2}}{a^{2}}=\frac{1}{3},\thereforee^{2}=1-\frac{b^{2}}{a^{2}}=\frac{2}{3}e=\frac{\sqrt{6}}{3}

[3023] 当x\geqslant0时,曲线\frac{y^{2}}{9}-\frac{x|x|}{4}=1的方程为\frac{y^{2}}{9}-\frac{x^{2}}{4}=1当x<0时,曲线\frac{y^{2}}{9}-\frac{x|x|}{4}=1的方程为\frac{y^{2}}{9}+\frac{x^{2}}{4}=1|x|=1的图象为右图,标系中作出直线v=x+3的图象可得直线与曲线交点个数为3个

[3024] 由题可得F(\frac{1}{2},0),直线l:x=-\frac{1}{2},不妨设点P(x_{0},y_{0})在第一象限,则x_{0}>0,y_{0}>0.因为|PF|=a(a>\frac{1}{2}),所以|PM|=|PF|=x_{0}+\frac{1}{2}=a,所以y_{0}=\sqrt{2x_{0}}=\sqrt{2a-1},所以,则\frac{1}{2}(|PM|+|PF|+|MF|r=\frac{1}{2}y_{0}\cdot|PM|,即(2a+\sqrt{2a})r=a\sqrt{2a-1},所以r=\frac{a\sqrt{2a-1}}{2a+\sqrt{2a}}=\frac{\sqrt{a}\cdot\sqrt{2a-1}}{\sqrt{2}(\sqrt{2a}+1)},所以\triangleMPF的内切圆的面积为\pir^{2}=\frac{\pia(2a-1)}{2(\sqrt{2a}+1)^{2}}=\frac{\pia(\sqrt{2a}-1}{2(\sqrt{2a}+1)},又\triangleMPF的内切圆的面积为\frac{3-\sqrt{5})a\pi}{4},所以\frac{\pia\sqrt{2a}-1}{2(\sqrt{2a}+1)}=\frac{(3-\sqrt{5})a\pi}{4},即\frac{\sqrt{2a}-1}{\sqrt{2a}+1}=\frac{3-\sqrt{5}}{2},解得\sqrt{2a}=\sqrt{5}即a=\frac{5}{2}.

[3026] 依题意可知\frac{ab}{\sqrt{a^{2}+b^{2}}}=\frac{ab}{c}=\frac{c}{4}+1,\thereforeab=\frac{1}{4}c^{2}+c,\becauseab\leqslant\frac{a^{2}+b^{2}}{2}=\frac{c^{2}}{2},\therefore\frac{1}{4}c^{2}+c\leqslant\frac{c^{2}}{2},解得c\geqslant4或c\leqslant0(舍去)

[3029] 由题意,不妨设过右焦点F作渐近线y=\frac{b}{a}x的垂线FH,可得FH的方程为y=-\frac{a}{b}(x-c)关立方程组\begin{cases}y=-\frac{a}{b}(x-c)\\y=\frac{b}{a}x\end{cases},解得x=\frac{a2}{c},y=\frac{ab}{c},即点H的坐标为(\frac{a^{2}}{c},\frac{ab}{c})由中点公式得到点A(\frac{a2+c^{2}}{2c},\frac{ab}{2c}),代入双曲线方程,得到\frac{(a^{2}+c^{2})^{2}}{4a2c^{2}}-\frac{a2}{4c^{2}}=1^{2}整理的\frac{c^{2}}{a^{2}}=2,即e^{2}=2,所以e=\sqrt{2}

[3030] 已知双曲线4x^{2}-y^{2}=1令:4x^{2}-y^{2}=0即得到渐近线方程为:y=\pm2x

[3031] 双曲线的左、右焦点分别为F_{1}(-c,0),F_{2}(c,0),设双曲线的一条渐近线方程为y=\frac{b}{a}x,可得直线AF_{2}的方程为y=\frac{b}{a}(x-c),联立双曲线的方程可得A的坐标,设|AF_{1}|=m,|AF_{2}|=n,运用三角形的等面积法,以及双曲线的定义,结合锐角三角函数的定义,化简变形可得a,c的方程,结合离心率公式可得所求值羊解】设双曲线的左、右焦点分别为F_{1}(-c,0),F_{2}(c,0),设双曲线的一条渐近线方程为y=\frac{b}{a}x,可得直线AF_{2}的方程为y=\frac{b}{a}(x-c),联立双曲线\frac{x^{2}}{a^{2}}-\frac{y^{2}}{b^{2}}=1(b>a>0),可得A(\frac{c^{2}+a^{2}}{2c},\frac{b(a^{2}-c^{2})}{2ac})设|AF_{1}|=m,|AF_{2}|=n,由三角形的等面积法可得\frac{1}{2}\cdot\frac{b}{4}(m+n+2c)=\frac{1}{2}\cdot2c\cdot\frac{b(c^{2}-a^{2})}{2ac},化简可得m+n=\frac{4c^{2}}{a}-4a-2c\textcircled{1}由双曲线的定义可得m-n=2a\textcircled{2}在三角形AF_{1}F_{2}中_{n\sin\theta}=\frac{b(c^{2}-a^{2})}{2ac},(\theta为直线AF_{2}的倾斜角),由\tan\theta=\frac{b}{a},\sin^{2}\theta+\cos^{2}\theta=1,可得\sin\theta=\frac{b}{\sqrt{a^{2}+b^{2}}}=\frac{b}{c}可得n=\frac{c^{2}-a^{2}}{2a},\textcircled{3}由\textcircled{1}\textcircled{2}\textcircled{3}化简可得3c^{2}-2ac-5a^{2}=0,即为(3c-5a)(c+a)=0,可得3c=5a,则e=\frac{c}{a}=\frac{5}{3}.

[3035] 设P(x_{1},y_{1},Q(x_{2},y_{2}),则S=\frac{1}{2}|OF||y_{1}-y_{2}|,过抛物线y^{2}=4x的焦点(1,0),倾斜角为\frac{\pi}{4}的直线为x-y-1=0,即x=1+yy_{1}+y_{2}=4,y_{1}y_{2}=-4,\therefore|y|x=1+y,代入y^{2}=4x得:y2=4(1+y),即y^{2}-4y-4=0,S=\frac{1}{2}|OF||y_{1}-y_{2}|=\frac{1}{2}\times4\sqrt{2}=2\sqrt{2}

[3036] 由椭圆\frac{y^{2}}{9}+\frac{x^{2}}{4}=1,可得|PF_{1}|+|PF_{2}|=6,|F_{1}F_{2}|=2\sqrt{5},e=\frac{c}{a}=\frac{\sqrt{5}}{3},\therefore\cos\angleF_{1}PF_{2}=\frac{|PF_{1}|^{2}+|PF_{2}|^{2}-|F_{1}F_{2}|^{2}}{2|PF_{1}||PF_{2}|}=\frac{16}{2|PF_{1}||PF_{2}|}-1=\frac{1}{3},可得|PF_{1}|\cdot|PF_{2}|=6,不妨设|PF_{1}|>|PF_{2}|,P的横坐标为x,x>0,\therefore|PF_{1}|=3+\sqrt{3},|PF_{2}|=3-\sqrt{3},3+\sqrt{3}=3+\frac{\sqrt{5}}{3}y^{,}解得y=\frac{3\sqrt{15}}{5},此时x=\pm\frac{2\sqrt{10}}{5}

[3039] 首先根据已知条件得到m^{2}+n^{2}<4,从而得到P(m,n)在椭圆内,即可得到直线与椭圆的交点个数由题知:圆心(0,0)到直线mx-ny-4=0的距离d=\frac{4}{\sqrt{m^{2}+n^{2}}}>2,整理得:m^{2}+n^{2}<4.P(m,n)在以(0,0)为圆心,2为半径的圆内,又因为椭圆\frac{x^{2}}{9}+\frac{y^{2}}{4}=1,a=3,b=2,所以P(m,n)在椭圆内,所以过点P(m,n)的直线与椭圆\frac{x^{2}}{}+\frac{y^{2}}{}=1有2个交点故答客为:?青】本题主要考查直线与椭圆,点与椭圆的位置关系,同时考查直线与圆的位置关系,属于简单题

[3040] 由于双曲线C:\frac{x^{2}}{a^{2}}-\frac{y^{2}}{3}=1(a>0)的一条渐近线的倾斜角为60^{\circ},则\frac{\sqrt{3}}{a}=\tan60^{\circ}=\sqrt{3}可得a=1,所以,双曲线C的焦距为|F_{1}F_{2}|=2\sqrt{a^{2}+3}=4,设点P为第一象限内的点,联立\begin{cases}x=2\\x^{2}-\frac{y^{2}}{3}=1\end{cases},\becausey>0,解得\begin{cases}x=2\\y=3\end{cases}易知F_{1}(-2,0)、F_{2}(2,0),\therefore|PF_{1}|=\sqrt{(2+2)^{2}+3^{2}}=5,|PF_{2}|=\sqrt{(2-2)^{2}+3^{2}}=3因此,\trianglePF_{1}F_{2}的周长为|PF_{1}|+|PF_{2}|+|F_{1}F_{2}|=5+3+4=12

[3041] 设A(x_{1},y_{1})B(x_{2},y_{2})由\begin{cases}y=x-\frac{p}{2}\\y^{2}=2px\end{cases}可得x^{2}-3px+\frac{p^{2}}{4}=0,(x_{1}>x_{2}x_{1}=\frac{3+2\sqrt{2}}{2}p,x_{2}=\frac{3-2\sqrt{2}}{2}p,\therefore由抛物线的定义知\frac{|FA|}{|FB|}=\frac{x_{1}+\frac{p}{2}}{x_{2}+\frac{p}{2}}=3+2\sqrt{2}

[3042] 如图所示眼据抛物线性质可得MF=MQ=4=2+x_{M}得M(2,4),所以M到x=1的距离为3,根据直线与圆的弦长公式可得:该弦长为2.\sqrt{16-9}=2\sqrt{7}

[3043] 设弦的端点为A(x_{1},y_{1})、B(x_{2},y_{2}),由点M为弦AB的中点得出\begin{cases}x_{1}+x_{2}=2\\y_{1}+y_{2}=2\end{cases},将点A、B的坐标代入椭圆方程得出\begin{cases}x_{1}^{2}+2y_{1}^{2}=4\\x_{2}^{2}+2y_{2}^{2}=4\end{cases},利用点差法可求出弦AB所在直线的斜率,最后利用点斜式可得出弦AB所在直线的方程.设弦的端点为A(x_{1},y_{1})、B(x_{2},y_{2}由于点M为弦AB的中点,则\begin{cases}\frac{x_{1}+x_{2}}{2}=1\\\frac{y_{1}+y_{2}}{2}=1\end{cases}可得\begin{cases}x_{1}+x_{2}=2\\y_{1}+y_{2}=2\end{cases}将点A、B的坐标代入椭圆方程得出\begin{cases}x_{1}^{2}+2\\x_{2}^{2}+2\end{cases}两个等式相减得(x_{1}^{2}-x_{2}^{2})+2(y_{1}^{2}-y_{2}^{2})=0即(x_{1}+x_{2})(x_{1}-x_{2})+2(y_{1}+y_{2})(y_{1}-y_{2})=0,可得2(x_{1}-x_{2})+4(y_{1}-y_{2})=0所以,直线AB的斜率为\frac{y_{1}-y_{2}}{x_{1}-x_{2}}=-\frac{1}{2},因此,弦AB所在直线的方程为y-1=-\frac{1}{2}(x-1),即x+2y-3=0

[3044] 由题意知,抛物线C的准线方程为y=-\frac{p}{2},点A(0,-\frac{p}{2}),切线的斜率k一定存在,设切线的方程为y=kx-\frac{p}{2},切点B(x_{0},y_{0}),联立抛物线C与切线的方程\begin{cases}x^{0}=2py,\\y=kx-\frac{p}{2},\end{cases}消去y得x^{2}-2pkx+p^{2}=0,由\triangle=4p^{2}k^{2}-4p^{2}=0,解得k=\pm1.当k=1时,则x^{2}-2px+p^{2}=0,可得x_{0}=p,则y_{0}=\frac{p}{2}.因为|AB|=2,所以x_{0}^{2}+(y_{0}+\frac{p}{2})^{2}=4,解得p=\sqrt{2}.当k=-1时,同理可得p=\sqrt{2}

[3045] 根据题意,通过设P(m,n),利用AAPF为等腰三角形及直角三角形,求出m,通过抛物线的定义求解即可.由题可知:抛物线y^{2}=8x的焦点为:F(2,0)抛物线y^{2}=8x的准线方程为:x=-2,不妨设P(m,n),则8m=n^{2}\therefore|PA|=2+m,|FA|=\sqrt{4^{2}+n^{2}}由抛物线的定义可知:|PF|=|PA|=2+m,\thereforeAAPF为等腰三角形,又\angleAFx=\frac{2\pi}{3}\therefore|FA|\cos60^{\circ}=4,\therefore|FA|=8.即\sqrt{4^{2}+n^{2}}=8,n^{2}=48.得:8m=48,解得:m=6,|PF|=2+6=8

[3046] 设M为PF的中点,F为双曲线的右焦点,易知a=2,b=\sqrt{5},c=3,因为M为PF的中点,所以|PF|=2|OM|=2|OF|=6,由双曲线的定义,知|PF|=|PF|+4=10,连结MF',则\angleFMF'=\frac{\pi}{2},|MF|=5,所以\cos\angleMFF=\frac{5}{6}所以x_{P}+3=10\cos\angleMFF=\frac{25}{3},即x_{P}=\frac{25}{3}-3=\frac{16}{3}

[3047] 当双曲线的焦点在x轴上时,设方程为\frac{x^{2}}{a^{2}}-\frac{y^{2}}{b^{2}}=1则\frac{c}{a}=\sqrt{3},则b=\sqrt{2}a^{n},\frac{3}{a^{2}}-\frac{4}{2a^{2}}=1,解得a^{2}=1,b^{2}=2.\therefore所求双曲线的标准方程为x^{2}-\frac{y}{-=1当双曲线焦点在y轴上时,设方程为\frac{y^{2}}{a^{2}}-\frac{x^{2}}{b^{2}}=则\frac{c}{a}=\sqrt{3},则b=\sqrt{2}a,\frac{4}{a^{2}}-\frac{3}{2a^{2}}=1,解得a^{2}=\frac{5}{2},b^{2}=5.\therefore所求双曲线的标准方程为\frac{y^{2}}{5}-\frac{x^{2}}{5}=1

[3048] 双曲线方程可变形为\frac{x^{2}}{4}-\frac{y^{2}}{-k}=1,则a^{2}=4,b^{2}=-k,c^{2}=4-k,e=\frac{c}{a}=\frac{\sqrt{4-k}}{2}又因为e\in(1,2),即_{1}<\frac{\sqrt{4-k}}{2}<2'解得-12<k<0.

[3049] 根据余弦定理得到20=16+3PF_{1}\cdotPF,计算PF_{1}\cdotPF=\frac{4}{3},再利用面积公式得到\frac{1}{2}\times2ch=\frac{1}{2}PF_{1}\cdotPF\sin120^{\circ},计算得到答案.解】根据余弦定理得到:F_{1}F_{2}2=PF_{1}^{2}+PF_{2}2-2PF_{1}PF_{2}\cos120^{\circ}\therefore20=(PF_{1}-PF_{2})^{2}+3PF_{1}\cdotPF_{2}=16+3PF_{1}\cdotPF故PF_{1}\cdotPF=\frac{4}{3}S_{APF_{1}F_{2}}=\frac{1}{2}\times2ch=\frac{1}{2}PF_{1}\cdotPF_{2}\sin120^{\circ}=\frac{\sqrt{3}}{3}\thereforeh=\frac{\sqrt{15}}{15}

[3051] 因为过点F_{1}的直线l交椭圆于M,N两点由椭圆的定义得:|MF_{1}|+|MF_{2}|=2a=6,|NF_{1}|+|NF_{2}|=2a=6,所以\triangleF_{2}MN的周长为(|MF_{1}|+|MF_{2}|)+(|NF_{1}|+|NF_{2}|)=12,

[3052] 解析过程略

[3053] 抛物线的焦点坐标为(\frac{4\sqrt{2}}{4},0)=(\sqrt{2},0)

[3055] 由题意,抛物线y^{2}=8x的焦点F(2,0),设点P(x,y).由抛物线的定义知,|PF|=x+2,所以圆M的面积s=\pi(\frac{|PF|}{2})=\pi(\frac{x+2}{2})^{2}当x=0时,圆M的面积最小,此时点P(0,0),|PF|=2,所以圆心M(1,0),半径r=\frac{|PF|}{2}=1所以圆M:(x-1)^{2}+y^{2}=1,即x^{2}+y2-2x=0.

[3057] 设直线与抛物线交于A,B两点,A(x_{1},y_{1}),B(x_{2},y_{2})联立\begin{cases}y2=12x\\y=2x+1\end{cases}\Rightarrow4x^{2}-8x+1=0,c_{2}=2,x_{1}x_{2}=\frac{1}{4}可睛)本题主要考查直线与抛物线位置关系中的弦长问题,同时考查了学生的计算能力,属于简单题

[3058] 由抛物线的定义可得\frac{p}{2}=1,解得p=2.

[3063] 抛物线y^{2}=2px(p>0)的准线为x=-\frac{p}{2}所以其经过直线y=x+1与坐标轴的交点为(-1,0)所以-\frac{p}{2}=-1,即p=2

[3064] 由椭圆定义可知|PF_{1}|+|PF_{2}|=2a=4\sqrt{5},所以_{m}=|PF_{1}|\cdot|PF_{2}|\leqslant(\frac{|PF_{1}|+|PF_{2}|}{2})^{2}=20当且仅当|PF_{1}|=|PF_{2}|=2\sqrt{5}时等号成立,所以m的最大值为20.

[3066] 如图,F为抛物线C:x^{2}=8y的焦点,P为C上一点,M(-4,3)抛物线C:x^{2}=8y的焦点为F(0,2),准线方程为y=-2.过P作准线的垂线,垂足为Q,则有|PF|=|PQ||PM|+|PF|=|PM|+|PQ|\geqslant|MQ|=5当且仅当M,P,Q三点共线时,等号成立所以\trianglePMF的周长最小值为5+\sqrt{(-4)^{2}+(3-2)^{2}}=5+\sqrt{17}

[3067] 设直线l的斜率为k,所以直线的方程为y=k(x-1),联立方程组,利用根与系数关系得到x_{1}x_{2}=1再由B为A,C的中点,得到x_{1}=2x_{2}+1,联立方程组,求得B(\frac{1}{2},-\sqrt{2}),再利用斜率公式,即可求解.详解】如图所示,由抛物线E:y^{2}=4x的焦点坐标为F(1,0),准线方程为x=-1,设直线l的斜率为k,A(x_{1},y_{1},B(x_{2},y_{2}),C(-1,y_{3}),所以直线的方程为y=k(x-1),\cdots\cdots\cdots\cdots\textcircled{1}\textcircled{2}联立方程组\begin{cases}y=k(x-1)\\y2=4x\end{cases},整理得k^{2}x-(2k^{2}+4)x+k^{2}=0,所以x_{1}x_{2}=1,又由B为A,C的中点,所以x_{2}=\frac{x_{1}+(-1)}{2},即x_{1}=2x_{2}+1,\cdots\cdots\cdots\cdots\textcircled{2}联立\textcircled{1}\textcircled{2},解得x_{2}=\frac{1}{2},代入抛物线的方程,求得y_{2}=-\sqrt{2},即B(\frac{1}{2},-\sqrt{2})所以直线BF的斜率为k=\frac{0-(-\sqrt{2})}{1-\frac{1}{2}}=2\sqrt{2},即直线l的斜率为2\sqrt{2}

[3068] 解设双曲线的两个焦点分别为F_{1}(-5,0),F_{2}(5,0),由双曲线定义知|PF_{1}|-|PF_{2}||=8所以|PF_{1}|=16.5或|PF_{1}|=0.5又双曲线左支上的点到左焦点的最短距离为1,所以|PF_{1}|=0.5不合题意,事实上,在求解此类问题时,应灵活运用双曲线定义,分析出点P的存在情况,然后再求解.如本题中,因左顶点到右焦点的距离为9>8.5,故点P只能在右支上,所求|PF_{1}|=16.5

[3069] 由椭圆方程知a=4,b=2,c^{2}=12,因为PF_{1}\botPF_{2},所以\begin{cases}|PF_{1}|^{2}+|PF_{2}|^{2}=4c^{2}=48\\|PF_{1}|+|PF_{2}|=2a=8\end{cases},所以|PF_{1}||PF_{2}|=8,所以S_{\trianglePF_{1}F_{2}}=\frac{1}{2}|PF_{1}||PF_{2}|=4.

[3070] 由双曲线的标准方程得出渐近线方程为y=\pm\frac{a}{b}x,结合双曲线的一条渐近线的方程3x-2y=0得出\frac{b}{a}=\frac{2}{3},最后结合双曲线离心率e=\sqrt{1+(\frac{b}{a})^{2}},即可求出结果详解】由题得,双曲线C:\frac{y^{2}}{a^{2}}-\frac{x^{2}}{b^{2}}=1(a>0,b>0)的渐近线方程为y=\pm\frac{a}{b}x因为双曲线的一条渐近线的方程是3x-2y=0,即y=\frac{3}{2}x可得\frac{a}{b}=\frac{3}{2},则\frac{b}{a}=\frac{2}{3},则e=\sqrt{1+(\frac{b}{a})^{2}}=\sqrt{1+\frac{4}{9}}=\frac{\sqrt{13}}{3}所以该双曲线的离心率为\frac{\sqrt{13}}{3}

[3071] 如图,设H为线段MN的中点,形,AHF_{1}F_{2}为直角三角形设|MF_{2}|=|NF_{2}|=m,则|MN|=\sqrt{2}m,由双曲线的定义可得|MF_{2}|-|MF_{1}|=2a,|NF_{1}|-|NF_{2}|=2a又|NF_{1}|=|MN|+|MF_{1}|,\therefore|MN|=4a,\therefore\sqrt{2}m=4a,则m=2\sqrt{2}a,\therefore|MF_{1}|=|MF_{2}|-2a=2\sqrt{2}a-2a.\therefore|HF_{1}|=|MF_{1}|+|MH|=2\sqrt{2}a,|HF_{2}|=\frac{1}{2}|MN|=2a,在RtAHF_{1}F_{2}中,由勾股定理可得(2\sqrt{2}a)^{2}+4a^{2}=4c^{2},即3a^{2}=c^{2},\thereforec=\sqrt{3}a.\therefore离心率e=\frac{c}{a}=\sqrt{3},

[3072] 由题意可得抛物线C的焦点F的坐标为(\frac{p}{2},0),则\frac{p}{2}-3=0,解得p=6.

