sample_id,before_curve_type,after_curve_type,before_query_type,after_query_type,query_type_changed,before_reasoning_success,after_reasoning_success,reasoning_transition,before_final_answer_correct,after_final_answer_correct,correctness_transition,before_failure_reason,after_failure_reason,before_reasoning_failure_reason,after_reasoning_failure_reason,before_num_steps,after_num_steps,num_steps_delta,before_first_model,after_first_model,before_last_model,after_last_model,before_model_sequence_len,after_model_sequence_len,model_sequence_changed,model_sequence_lcp,new_model_ids_after,removed_model_ids_after,after_repeated_model_loop,expected_answer,before_predicted_answer,after_predicted_answer,query,facts,before_model_sequence,after_model_sequence
1865,Hyperbola,Hyperbola,Area,Area,False,False,False,failure->failure,False,False,wrong->wrong,max_steps,max_steps,max_steps,max_steps,15,15,0,1,1,24,24,15,15,False,15,,,True,5*pi,Area not found,Area not found,Area(H),"G: Hyperbola;m: Number;H: Circle;O: Origin;F: Point;l: Line;m>0;Expression(G) = (-m*y^2 + x^2 = m);RightFocus(G)=F;IsPerpendicular(OneOf(Asymptote(G)),H);Center(H)=O;Radius(H)=Abs(LineSegmentOf(O,F));Expression(l)=(y=2*x)",1 1 1 1 24 24 24 24 24 24 24 24 24 24 24,1 1 1 1 24 24 24 24 24 24 24 24 24 24 24
1892,Hyperbola,Hyperbola,Eccentricity,Eccentricity,False,False,False,failure->failure,False,False,wrong->wrong,max_steps,max_steps,max_steps,max_steps,15,15,0,1,1,1,1,15,15,False,15,,,True,sqrt(3),Eccentricity not found,Eccentricity not found,Eccentricity(G),"G: Hyperbola;Expression(Asymptote(G)) = (sqrt(2)*x + pm*y = 0);PointOnCurve(Focus(G), xAxis)",1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
1901,Parabola,Parabola,Value,Value,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,15,15,0,29,29,62,62,15,15,False,15,,,False,sqrt(2)*2/3,k: Number,k: Number,k,"l: Line;Gamma: Parabola;A: Point;B: Point;C: Point;k: Number;p: Number;k > 0;Expression(l) = (y = k*(p/2 + x));Expression(Gamma) = (y^2 = 2*p*x);Intersection(Gamma, l) = {A, B};Intersection(Directrix(Gamma), xAxis) = C;VectorOf(A, B) + VectorOf(A, C) = 0",29 29 29 29 29 29 29 62 62 62 62 62 62 62 62,29 29 29 29 29 29 29 62 62 62 62 62 62 62 62
1902,Hyperbola,Hyperbola,Eccentricity,Eccentricity,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,15,15,0,9,9,62,62,15,15,False,15,,,False,sqrt(2) + 1,sqrt(a^2/b^2+1),sqrt(a^2/b^2+1),Eccentricity(C2),"C2: Hyperbola;C1: Parabola;F: Point;A: Point;p: Number;p >0;Expression(C1) = (x^2 =2*p*y);Expression(C2) = (-x^2/b^2 + y^2/a^2 = 1);a: Number;b: Number;a > 0;b > 0;Focus(C1) = Focus(C2);Intersection(C1, C2) = A;Quadrant(A) = 1;LowerFocus(C2) = F;NumIntersection(LineOf(A, F), C1) = 1",9 9 9 9 9 9 9 9 9 9 79 62 62 62 62,9 9 9 9 9 9 9 9 9 9 79 62 62 62 62
1911,Hyperbola,Hyperbola,Equation,Equation,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,1,1,0,21,21,21,21,1,1,False,1,,,False,y=pm*sqrt(3)*x,y=-sqrt(3)*x,y=-sqrt(3)*x,Expression(Asymptote(G)),G: Hyperbola;a: Number;a>0;Expression(G) = (-y^2/12 + x^2/a^2 = 1);Eccentricity(G) = 2,21,21
1931,Ellipse,Ellipse,Distance,Distance,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,8,8,0,0,0,13,13,8,8,False,8,,,False,sqrt(57)/4,Distance not found,Distance not found,"Distance(Center(H), Center(G))","G: Ellipse;Expression(G) = (x^2/4 + y^2/3 = 1);H: Circle;PointOnCurve(RightVertex(G), H) ;PointOnCurve(RightFocus(G), H);PointOnCurve(Center(H), G)",0 0 0 56 56 56 56 13,0 0 0 56 56 56 56 13
1933,Parabola,Parabola,Value,Value,False,False,False,failure->failure,False,False,wrong->wrong,max_steps,max_steps,max_steps,max_steps,15,15,0,2,2,29,29,15,15,False,15,,,True,3/2,"Abs(LineSegmentOf(B, F)) not found","Abs(LineSegmentOf(B, F)) not found","Abs(LineSegmentOf(B, F))","G: Parabola;H: Line;A: Point;F: Point;B: Point;Expression(G) = (y^2 = 4*x);Focus(G) = F;PointOnCurve(F, H);Intersection(H, G) = {A, B};Abs(LineSegmentOf(A, F)) = 3",2 29 29 29 29 29 29 29 29 29 29 29 29 29 29,2 29 29 29 29 29 29 29 29 29 29 29 29 29 29
1955,Ellipse,Ellipse,Equation,Equation,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,1,1,0,63,63,63,63,1,1,False,1,,,False,x^2/8 + y^2/4 = 1,y^2/b^2+x^2/a^2=1,y^2/b^2+x^2/a^2=1,Expression(C),"C: Ellipse;b: Number;a: Number;G: Circle;a > b;b > 0;Expression(C) = (y^2/b^2 + x^2/a^2 = 1);Expression(G) = (x^2 + y^2 = 4);PointOnCurve(Focus(C), G);PointOnCurve(Endpoint(MinorAxis(C)), G)",63,63
1965,Hyperbola,Hyperbola,Eccentricity,Eccentricity,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,15,15,0,1,1,24,24,15,15,False,15,,,False,sqrt(5)/2,1.41421,1.41421,Eccentricity(G),"G: Hyperbola;H: Point;O: Origin;Coordinate(H) = (-3, 6);Center(G)=O;PointOnCurve(Focus(G), yAxis);PointOnCurve(H,OneOf(Asymptote(G)))",1 1 1 1 1 24 24 24 24 24 24 24 24 24 24,1 1 1 1 1 24 24 24 24 24 24 24 24 24 24
1978,Other,Other,Range,Range,False,False,False,failure->failure,False,False,wrong->wrong,max_steps,max_steps,max_steps,max_steps,15,15,0,65,65,65,65,15,15,False,15,,,True,"{[-2*sqrt(5),2*sqrt(5)),5}",Range(m) not found,Range(m) not found,Range(m),"G: Line;m: Number;H: Curve;Expression(G) = (y = m - x);Expression(H) = (y = sqrt(5 - x^2/4));NumIntersection(G, H) = 1",65 65 65 65 65 65 65 65 65 65 65 65 65 65 65,65 65 65 65 65 65 65 65 65 65 65 65 65 65 65
1984,Hyperbola,Hyperbola,Value,Value,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,1,1,0,1,1,1,1,1,1,False,1,,,False,4,"Abs(LineSegmentOf(P, F1) - LineSegmentOf(P, F2)) not found","Abs(LineSegmentOf(P, F1) - LineSegmentOf(P, F2)) not found","Abs(LineSegmentOf(P, F1) - LineSegmentOf(P, F2))","G: Hyperbola;Expression(G) = (x^2/3 - y^2 = 1);F1: Point;F2: Point;Focus(G) = {F1, F2};P: Point;PointOnCurve(P, G) = True;Area(TriangleOf(F1, P, F2)) = 2",1,1
1990,Hyperbola,Hyperbola,Eccentricity,Eccentricity,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,1,1,0,21,21,21,21,1,1,False,1,,,False,2,sqrt(1+b^2/a^2),sqrt(1+b^2/a^2),Eccentricity(C),"C: Hyperbola;b: Number;a: Number;M: Point;l1: Line;l2: Line;F1: Point;F2: Point;G: Circle;a>0;b>0;Expression(C) = (-y^2/b^2 + x^2/a^2 = 1);LeftFocus(C) = F1;RightFocus(C) = F2;IsDiameter(LineSegmentOf(F1, F2), G);OneOf(Asymptote(C)) = l1;OneOf(Asymptote(C)) = l2;Negation(l1 = l2);Intersection(G, l1) = M;Abs(LineSegmentOf(M, F1)) > Abs(LineSegmentOf(M, F2));PointOnCurve(MidPoint(LineSegmentOf(M, F1)), l2)",21,21
2002,Hyperbola,Hyperbola,Equation,Equation,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,1,1,0,21,21,21,21,1,1,False,1,,,False,x^2/4-y^2/12=1,(x^2-y^2/3)/a^2=1,(x^2-y^2/3)/a^2=1,Expression(G),G: Hyperbola;b: Number;a: Number;H: Parabola;a>0;b>0;Expression(G) = (-y^2/b^2 + x^2/a^2 = 1);Expression(H) = (y^2 = 16*x);Expression(OneOf(Asymptote(G)))=(y=sqrt(3)*x);OneOf(Focus(G))=Focus(H),21,21
2019,Parabola,Parabola,Equation,Equation,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,15,15,0,2,2,53,53,15,15,False,15,,,False,"{y^2 = pm*4*x, x^2 = pm*4*y}",No equation found,No equation found,Expression(G),"G: Parabola;Distance(Focus(G), Directrix(G)) = 2",2 2 2 2 2 2 2 53 53 53 53 53 53 53 53,2 2 2 2 2 2 2 53 53 53 53 53 53 53 53
2031,Parabola,Parabola,Coordinate,Coordinate,False,False,False,failure->failure,False,False,wrong->wrong,no_model,no_model,no_model,no_model,0,0,0,none,none,none,none,0,0,False,0,,,False,"(0,1/8)",,,Coordinate(Focus(G)),G: Parabola;Expression(G) = (y = 2*x^2),,
2035,Ellipse,Ellipse,Eccentricity,Eccentricity,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,1,1,0,13,13,13,13,1,1,False,1,,,False,"[sqrt(2)/2,1)",Range(Eccentricity(G)) not found,Range(Eccentricity(G)) not found,Range(Eccentricity(G)),"G: Ellipse;Expression(G) = (y^2/b^2 + x^2/a^2 = 1);b: Number;a: Number;a > b;b > 0;O: Origin;M: Point;N: Point;A: Point;F1: Point;B: Point;l:Line;LeftFocus(G) = F1;Intersection(l, G) = {A, B};MidPoint(LineSegmentOf(A, F1)) = M;MidPoint(LineSegmentOf(B, F1)) = N;IsPerpendicular(LineSegmentOf(O, M), LineSegmentOf(O, N));PointOnCurve(O,l)",13,13
2036,Parabola,Parabola,Value,Value,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,15,15,0,62,62,62,62,15,15,False,15,,,True,2,m: Number,m: Number,m,"l: Line;C: Parabola;G: Line;B: Point;D: Point;P: Point;A: Point;O:Origin;Expression(C) = (y^2 = 8*x);Coordinate(P) = (m, 0);m:Number;m>0;PointOnCurve(P, l);Intersection(l, C) = {A, B};PointOnCurve(A,G);PointOnCurve(O,G);Vertex(C)=O;Intersection(G,Directrix(C))=D;IsParallel(LineSegmentOf(B,D),SymmetryAxis(C))",62 62 62 62 62 62 62 62 62 62 62 62 62 62 62,62 62 62 62 62 62 62 62 62 62 62 62 62 62 62
2046,Parabola,Parabola,Value,Value,False,False,True,failure->success,False,False,wrong->wrong,max_steps,answer_mismatch,max_steps,none,15,15,0,29,29,62,62,15,15,False,15,,,False,2*sqrt(15),"Abs(LineSegmentOf(A, B)) not found",8*sqrt((k+1)*(k^2+1)/k^4),"Abs(LineSegmentOf(A, B))","H: Line;Expression(H) = (y = k*x - 2);k: Number;G: Parabola;Expression(G) = (y^2 = 8*x);Intersection(H, G) = {A, B};A: Point;B: Point;XCoordinate(MidPoint(LineSegmentOf(A, B))) = 2;IsChordOf(LineSegmentOf(A, B), G) = True",29 29 29 29 29 29 29 62 62 62 62 62 62 62 62,29 29 29 29 29 29 29 62 62 62 62 62 62 62 62
2050,Hyperbola,Hyperbola,Equation,Equation,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,1,1,0,21,21,21,21,1,1,False,1,,,False,y=pm*(1/2)*x,y=pm*(b/a)*x,y=pm*(b/a)*x,Expression(Asymptote(C)),"C: Hyperbola;a: Number;b: Number;F: Point;a>0;b>0;Expression(C) = (-y^2/b^2 + x^2/a^2 = 1);LeftFocus(C) = F;Distance(F, OneOf(Asymptote(C))) = a/2",21,21
2060,Hyperbola,Hyperbola,Equation,Equation,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,1,1,0,21,21,21,21,1,1,False,1,,,False,x^2/16-y^2/9=1,-y^2/b^2+x^2/a^2=1,-y^2/b^2+x^2/a^2=1,Expression(C),C: Hyperbola;Expression(C) = (-y^2/b^2 + x^2/a^2 = 1);b: Number;a: Number;a>0;b>0;Slope(OneOf(Asymptote(C))) = 3/4;FocalLength(C) = 10,21,21
2066,Parabola,Parabola,Value,Value,False,False,False,failure->failure,False,False,wrong->wrong,max_steps,max_steps,max_steps,max_steps,15,15,0,2,2,29,29,15,15,False,15,,,True,12,"Expression 'Abs(VectorOf(F, A)) + Abs(VectorOf(F, B)) + Abs(VectorOf(F, C))' not found","Expression 'Abs(VectorOf(F, A)) + Abs(VectorOf(F, B)) + Abs(VectorOf(F, C))' not found","Abs(VectorOf(F, A)) + Abs(VectorOf(F, B)) + Abs(VectorOf(F, C))","G: Parabola;F: Point;A: Point;B: Point;C: Point;Expression(G) = (x^2 = 8*y);Focus(G) = F;PointOnCurve(A, G);PointOnCurve(B, G);PointOnCurve(C, G);VectorOf(F, A) + VectorOf(F, B) + VectorOf(F, C) = 0",2 29 29 29 29 29 29 29 29 29 29 29 29 29 29,2 29 29 29 29 29 29 29 29 29 29 29 29 29 29
2076,Parabola,Parabola,Distance,Distance,False,True,True,success->success,True,True,correct->correct,none,none,none,none,15,15,0,29,29,29,29,15,15,False,15,,,True,1,1,1,"Distance(Focus(G), Directrix(G))",G: Parabola;Expression(G) = (y^2 = 2*x),29 29 29 29 29 29 29 29 29 29 29 29 29 29 29,29 29 29 29 29 29 29 29 29 29 29 29 29 29 29
2090,Parabola,Parabola,Value,Value,False,False,False,failure->failure,False,False,wrong->wrong,max_steps,max_steps,max_steps,max_steps,15,15,0,2,2,29,29,15,15,False,15,,,True,sqrt(3),Slope not found,Slope not found,Slope(l),"l: Line;C: Parabola;A: Point;F: Point;B: Point;Expression(C) = (y^2 = 4*x);Focus(C)=F;PointOnCurve(F,l);Intersection(l,C)={A,B};Quadrant(A)=1;Quadrant(B)=4;Abs(LineSegmentOf(A,F))=3*Abs(LineSegmentOf(F,B))",2 29 29 29 29 29 29 29 29 29 29 29 29 29 29,2 29 29 29 29 29 29 29 29 29 29 29 29 29 29
2172,Parabola,Parabola,Distance,Distance,False,False,False,failure->failure,False,False,wrong->wrong,max_steps,max_steps,max_steps,max_steps,15,15,0,2,2,62,62,15,15,False,15,,,False,5/4,Distance not found,Distance not found,"Distance(MidPoint(LineSegmentOf(A,B)), yAxis)","G: Parabola;A: Point;B: Point;F: Point;Expression(G) = (y^2 = x);Focus(G) = F;PointOnCurve(A, G);PointOnCurve(B, G);Abs(LineSegmentOf(A, F)) + Abs(LineSegmentOf(B, F)) = 3",2 2 2 2 2 56 62 62 62 62 62 62 62 62 62,2 2 2 2 2 56 62 62 62 62 62 62 62 62 62
2190,Parabola,Parabola,Value,Value,False,False,False,failure->failure,False,False,wrong->wrong,max_steps,max_steps,max_steps,max_steps,15,15,0,2,2,29,29,15,15,False,15,,,True,1/2,"Expression '(Abs(LineSegmentOf(A, F))*Abs(LineSegmentOf(B, F)))/Abs(LineSegmentOf(A, B))' not found","Expression '(Abs(LineSegmentOf(A, F))*Abs(LineSegmentOf(B, F)))/Abs(LineSegmentOf(A, B))' not found","(Abs(LineSegmentOf(A, F))*Abs(LineSegmentOf(B, F)))/Abs(LineSegmentOf(A, B))","G: Parabola;H: Line;A: Point;F: Point;B: Point;Expression(G) = (y^2 = -2*x);Focus(G) = F;Slope(H) = sqrt(3);PointOnCurve(F, H);Intersection(H, G) = {A, B}",2 29 29 29 29 29 29 29 29 29 29 29 29 29 29,2 29 29 29 29 29 29 29 29 29 29 29 29 29 29
2195,Parabola,Parabola,Value,Value,False,False,False,failure->failure,False,False,wrong->wrong,max_steps,max_steps,max_steps,max_steps,15,15,0,29,29,29,29,15,15,False,15,,,True,4*sqrt(2),"Abs(LineSegmentOf(O, A)) not found","Abs(LineSegmentOf(O, A)) not found","Abs(LineSegmentOf(O, A))","G: Parabola;Expression(G) = (y^2 = 4*x);A: Point;PointOnCurve(A, G);F: Point;Focus(G) = F;Distance(A, F) = 5;O: Origin;Distance(A, O) = Abs(LineSegmentOf(O, A))",29 29 29 29 29 29 29 29 29 29 29 29 29 29 29,29 29 29 29 29 29 29 29 29 29 29 29 29 29 29
2204,Ellipse,Ellipse,Range,Range,False,False,False,failure->failure,False,False,wrong->wrong,max_steps,max_steps,max_steps,max_steps,15,15,0,0,0,0,0,15,15,False,15,,,True,"(pi/2, 3*pi/4)",Range(alpha) not found,Range(alpha) not found,Range(alpha),"G: Ellipse;alpha: Number;alpha>=0;alpha<2*pi;Expression(G) = (x^2*Sin(alpha) - y^2*Cos(alpha) = 1);PointOnCurve(Focus(G),yAxis)",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2207,Parabola,Parabola,Value,Value,False,True,True,success->success,False,True,wrong->correct,answer_mismatch,none,none,none,15,15,0,29,29,29,29,15,15,False,15,,,True,13,"Abs(LineSegmentOf(P,F))",13,"Abs(LineSegmentOf(P,F))","G: Parabola;P: Point;F: Point;Expression(G) = (y^2 = 16*x);PointOnCurve(P, G);Distance(P, xAxis) = 12;Focus(G)=F;Distance(P,F)=Abs(LineSegmentOf(P,F))",29 29 29 29 29 29 29 29 29 29 29 29 29 29 29,29 29 29 29 29 29 29 29 29 29 29 29 29 29 29
2209,Circle,Circle,Equation,Equation,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,15,15,0,75,75,43,43,15,15,False,15,,,False,{(x^2/2-y^2/14=1)&(x>=sqrt(2))},Expression(A)=((x+4)^2+y^2=2),Expression(A)=((x+4)^2+y^2=2),LocusEquation(M1),"M: Circle;A:Circle;B:Circle;Expression(A)=((x+4)^2+y^2=2);Expression(B)=((x-4)^2+y^2=2);IsOutTangent(M,A);IsInTangent(M,B);M1:Point;Center(M)=M1",75 75 75 75 75 75 75 43 43 43 43 43 43 43 43,75 75 75 75 75 75 75 43 43 43 43 43 43 43 43
2210,Hyperbola,Hyperbola,Equation,Equation,False,False,True,failure->success,False,False,wrong->wrong,no_model,answer_mismatch,no_model,none,0,8,8,none,1,none,1,0,8,True,0,1,,True,x^2/4-y^2/12=1,,Expression(OneOf(Asymptote(G)))=(y=sqrt(3)*x),Expression(G),"G: Hyperbola;Coordinate(Focus(G)) = (pm*4, 0);Expression(OneOf(Asymptote(G)))=(y=sqrt(3)*x)",,1 1 1 1 1 1 1 1
2213,Ellipse,Ellipse,Eccentricity,Eccentricity,False,True,True,success->success,True,True,correct->correct,none,none,none,none,1,1,0,13,13,13,13,1,1,False,1,,,False,1/2,1/2,1/2,Eccentricity(G),G: Ellipse;Expression(G) = (x^2/4 + y^2/3 = 1),13,13
2223,Hyperbola,Hyperbola,Eccentricity,Eccentricity,False,False,False,failure->failure,False,False,wrong->wrong,no_model,no_model,no_model,no_model,0,0,0,none,none,none,none,0,0,False,0,,,False,sqrt(13)/3,,,Eccentricity(G),G: Hyperbola;Expression(Asymptote(G)) = (y = pm*(3/2)*x),,
2225,Parabola,Parabola,Equation,Equation,False,False,False,failure->failure,False,False,wrong->wrong,no_model,no_model,no_model,no_model,0,0,0,none,none,none,none,0,0,False,0,,,False,"{y^2=-8*x, x^2=-y}",,,Expression(G),"G: Parabola;P: Point;Coordinate(P) = (-2, -4);PointOnCurve(P, G)",,
2231,Parabola,Parabola,Equation,Equation,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,15,15,0,29,29,29,29,15,15,False,15,,,True,y^2=8*x,y^2=2*p*x,y^2=2*p*x,Expression(G),"G: Parabola;p: Number;M: Point;p>0;Expression(G) = (y^2 = 2*(p*x));PointOnCurve(M, G);XCoordinate(M)=3;Distance(M,Focus(G))=5",29 29 29 29 29 29 29 29 29 29 29 29 29 29 29,29 29 29 29 29 29 29 29 29 29 29 29 29 29 29
2252,Parabola,Parabola,Value,Value,False,False,True,failure->success,False,True,wrong->correct,max_steps,none,max_steps,none,15,15,0,29,29,62,62,15,15,False,15,,,False,2,Slope not found,2,"Slope(OverlappingLine(LineSegmentOf(A, B)))","G: Parabola;Expression(G) = (y^2 = 4*x);A: Point;B: Point;IsChordOf(LineSegmentOf(A, B), G) = True;P: Point;Coordinate(P) = (1, 1);MidPoint(LineSegmentOf(A, B)) = P",29 29 29 29 29 29 29 62 62 62 62 62 62 62 62,29 29 29 29 29 29 29 62 62 62 62 62 62 62 62
2296,Hyperbola,Hyperbola,Eccentricity,Eccentricity,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,1,1,0,21,21,21,21,1,1,False,1,,,False,sqrt(5)/2,sqrt(1+b^2/a^2),sqrt(1+b^2/a^2),Eccentricity(G),"G: Hyperbola;b: Number;a: Number;H: Line;F2: Point;A: Point;B: Point;F1: Point;a>0;b>0;Expression(G) = (-y^2/b^2 + x^2/a^2 = 1);LeftFocus(G) = F1;RightFocus(G) = F2;PointOnCurve(F1, H);Slope(H) = 1/3;Intersection(H, l1)=A;Abs(LineSegmentOf(F2, A)) = Abs(LineSegmentOf(F2, B));l1:Line;l2:Line;Intersection(H, l2)=B;Asymptote(G)={l1,l2}",21,21
2320,Hyperbola,Hyperbola,Equation,Equation,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,1,1,0,21,21,21,21,1,1,False,1,,,False,y=pm*sqrt(3)*x,y=pm*(sqrt(3)/a)*x,y=pm*(sqrt(3)/a)*x,Expression(Asymptote(G)),G: Hyperbola;a: Number;H: Parabola;a>0;Expression(G) = (-y^2/3 + x^2/a^2 = 1);Expression(H) = (y^2 = 8*x);Focus(H) = RightFocus(G),21,21
2321,Parabola,Parabola,Value,Value,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,15,15,0,2,2,29,29,15,15,False,15,,,True,8,sqrt((x1-x2)^2+(y1-y2)^2),sqrt((x1-x2)^2+(y1-y2)^2),"Abs(LineSegmentOf(A, B))","G: Parabola;H: Line;A: Point;B: Point;x1:Number;y1:Number;x2:Number;y2:Number;Expression(G) = (y^2 = 4*x);Coordinate(A) = (x1, y1);Coordinate(B) = (x2, y2);Focus(G)=F;PointOnCurve(F,H);Intersection(H,G) = {B, A};x1+x2=6;F:Point",2 29 29 29 29 29 29 29 29 29 29 29 29 29 29,2 29 29 29 29 29 29 29 29 29 29 29 29 29 29
2322,Hyperbola,Hyperbola,Eccentricity,Eccentricity,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,1,1,0,21,21,21,21,1,1,False,1,,,False,sqrt(5)/2,sqrt(1+b^2/a^2),sqrt(1+b^2/a^2),Eccentricity(G),"G: Hyperbola;b: Number;a: Number;H: Line;m: Number;P: Point;A: Point;B: Point;a>0;b>0;Negation(m=0);l1:Line;l2:Line;Expression(G) = (-y^2/b^2 + x^2/a^2 = 1);Expression(H) = (m + x - 3*y = 0);Coordinate(P) = (m, 0);Asymptote(G)={l1,l2};Intersection(H,l1)=A;Intersection(H,l2)=B;Abs(LineSegmentOf(P, A)) = Abs(LineSegmentOf(P, B))",21,21
2325,Other,Other,Equation,Equation,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,15,15,0,54,54,62,62,15,15,False,15,,,False,x+y-1=0,No equation found,No equation found,LocusEquation(M),"l1:Line;l2:Line;P:Point;Coordinate(P)=(1,1);IsPerpendicular(l1,l2);PointOnCurve(P,l1);PointOnCurve(P,l2);Intersection(l2,yAxis)=B;Intersection(l1,xAxis)=A;MidPoint(LineSegmentOf(A,B))=M;A:Point;B:Point;M:Point",54 54 54 54 54 62 62 62 62 62 62 62 62 62 62,54 54 54 54 54 62 62 62 62 62 62 62 62 62 62
2380,Ellipse,Ellipse,Value,Value,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,1,1,0,13,13,13,13,1,1,False,1,,,False,sqrt(3)/2,sqrt(a^2-b^2)/a,sqrt(a^2-b^2)/a,e,G: Ellipse;Expression(G) = (y^2/b^2 + x^2/a^2 = 1);a: Number;b: Number;a>b;b>0;e: Number;Eccentricity(G) = e;WhenMin(a^2 + 16/(b*(a - b))),13,13
2382,Ellipse,Ellipse,Length,Length,False,True,True,success->success,True,True,correct->correct,none,none,none,none,1,1,0,13,13,13,13,1,1,False,1,,,False,4,4,4,Length(MajorAxis(G)),G: Ellipse;Expression(G) = (x^2/4 + y^2 = 1),13,13
2418,Ellipse,Ellipse,Eccentricity,Eccentricity,False,False,False,failure->failure,False,False,wrong->wrong,max_steps,max_steps,max_steps,max_steps,15,15,0,0,0,0,0,15,15,False,15,,,True,3/5,Eccentricity not found,Eccentricity not found,Eccentricity(G),"G: Ellipse;F1: Point;Coordinate(F1) = (-3, 0);OneOf(Focus(G)) = F1;Length(MajorAxis(G)) = 10;O: Origin;Center(G) = O",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2449,Parabola,Parabola,Area,Area,False,False,False,failure->failure,False,False,wrong->wrong,max_steps,max_steps,max_steps,max_steps,15,15,0,42,42,43,43,15,15,False,15,,,True,2,Area not found,Area not found,"Area(TriangleOf(M, F, N))","l: Line;C: Parabola;p: Number;A: Point;F: Point;M: Point;B: Point;N: Point;p>0;Expression(C) = (y^2 = 2*(p*x));Focus(C)=F;PointOnCurve(F,l);Intersection(l,C) = {B, A};Projection(A,Directrix(C))=M;Projection(B,Directrix(C))=N;InterReciprocal(Area(TriangleOf(A,F,M)),Area(TriangleOf(B,F,N)))",42 42 42 43 43 43 43 43 43 43 43 43 43 43 43,42 42 42 43 43 43 43 43 43 43 43 43 43 43 43
2452,Parabola,Parabola,Coordinate,Coordinate,False,True,True,success->success,True,True,correct->correct,none,none,none,none,15,15,0,29,29,63,63,15,15,False,15,,,False,"(0, 4)","(0, 4)","(0, 4)",Coordinate(Focus(G)),G: Parabola;Expression(G) = (x^2 = 16*y),29 29 29 29 29 29 29 29 63 63 63 63 63 63 63,29 29 29 29 29 29 29 29 63 63 63 63 63 63 63
2478,Parabola,Parabola,Value,Value,False,False,False,failure->failure,False,False,wrong->wrong,max_steps,max_steps,max_steps,max_steps,15,15,0,56,56,62,62,15,15,False,15,,,False,pm*sqrt(5)/2,Slope not found,Slope not found,Slope(l),"l: Line;G: Parabola;A: Point;F: Point;B: Point;Focus(G) = F;PointOnCurve(F, l);Intersection(l,G)={A,B};VectorOf(A, F) = 5*VectorOf(F, B)",56 56 56 56 56 56 56 56 56 56 62 62 62 62 62,56 56 56 56 56 56 56 56 56 56 62 62 62 62 62
2494,Parabola,Parabola,Coordinate,Coordinate,False,False,False,failure->failure,False,False,wrong->wrong,no_model,no_model,no_model,no_model,0,0,0,none,none,none,none,0,0,False,0,,,False,"(0,1/(8*a))",,,Coordinate(Focus(G)),G: Parabola;Expression(G) = (y = 2*a*x^2);a: Number;a<0,,
2502,Hyperbola,Hyperbola,Eccentricity,Eccentricity,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,1,1,0,1,1,1,1,1,1,False,1,,,False,sqrt(5),sqrt(1+b^2/a^2),sqrt(1+b^2/a^2),Eccentricity(C),"C: Hyperbola;b: Number;a: Number;P: Point;F1: Point;F2: Point;a>0;b>0;Expression(C) = (-y^2/b^2 + x^2/a^2 = 1);LeftFocus(C)=F1;RightFocus(C)=F2;PointOnCurve(P,C);Abs(VectorOf(P, F1) + VectorOf(P, F2)) = sqrt(Abs(VectorOf(P, F1))^2 + Abs(VectorOf(P, F2))^2);Abs(VectorOf(P, F1)) = 2*Abs(VectorOf(P, F2))",1,1
